AUS,SEA,43665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,327635,329406,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,43660,AUSSEA,AUSSEA
AUS,SFO,43665,1,275816,278814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,266822,278814,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,7,5,43660,AUSSFO,AUSSFO
AUS,SLC,43665,1,171402,200508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,169246,200508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,5,43660,AUSSLC,AUSSLC
AUS,SNA,43665,1,218105,224130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,213285,224130,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,7,5,43660,AUSSNA,AUSSNA
BDL,MCO,43665,1,194065,195114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,190918,195114,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,7,5,43660,BDLMCO,BDLMCO
BHM,MCO,43665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,87178,86220,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,43660,BHMMCO,BHMMCO
BNA,DEN,43665,1,186024,188046,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,150788,151800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,186024,188046,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,43660,BNADEN,BNADEN
BNA,LAS,43665,1,279488,295368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,258844,285840,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,7,5,43660,BNALAS,BNALAS
BNA,MCO,43665,1,125460,141450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119310,141450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,5,43660,BNAMCO,BNAMCO
BNA,PHL,43665,1,109512,125736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,107325,125550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,106808,121680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,43660,BNAPHL,BNAPHL
BOS,DEN,43665,1,325686,315180,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,325686,325686,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,43660,BOSDEN,BOSDEN
BOS,MCO,43665,1,201780,208506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,200659,201780,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,7,5,43660,BOSMCO,BOSMCO
BOS,RDU,43665,1,110772,113832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,108324,113832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,5,43660,BOSRDU,BOSRDU
BTV,DEN,43665,1,291742,295020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,280269,295020,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,7,5,43660,BTVDEN,BTVDEN
BUF,DEN,43665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,205360,204000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,43660,BUFDEN,BUFDEN
